ཡུལ་སྐད།	ཡིག་སྐད།
 འགྱོ། 	 འགྲོ། 
 འདེ། 	 འདི་རེད། 
 དུ་རེ། 	 དེ་རེད། 
 ཧོས་ན། 	 ཕ་རོལ། 
 གཤིས་འུ། གཤིས་ཀི། 	 དངོས་གནས། 
 འུ་ཆོ། 	 འུ་ཅག 
 ངེ་ཉིས། འུ་ཉ། 	 ངེད་གཉིས། 
 ངི་ཆོ། ངེད་ཆ།  	 ང་ཚོ། ངེད་ཅག  
 ཟེ། 	 ཟེར། 
 ཧ་ནས། 	 ཚང་མ། 
 ཨུ་དགོས། 	 ཨེ་དགོས། 
 ཨུ་འགྲོ། 	 ཨེ་འགྲོ། 
 ཨུ་རེད། 	 ཨེ་རེད། 
 ཁྱིད། 	 ཁྲིད། 
 དེས་མོ། 	 དེ་འདྲ། 
 རེད་དྲ་ར། 	 འོན་ཀྱང་། 
 ང་སྒེ། ངར་སྒེ། 	 ང་སྒེར། 
 ཆ་ཚིག 	 ཆ་ཤས། ཁ་ཤས། 
 སྐྱག། 	 སྐྲག། 
 ཞི་འུ། 	 ཞིབ་པ། 
 ངེད་ཀ། ངེ་ཚང་། 	 ངེད་ཚང་། 
 ཏོན། ཏོང་། ཐོང་། 	 ཞོག། 
 དེ་ར། དུ་ར། 	 དེ་ཡང་། 
 ཉེ།  	 ཉོས། 
 ངས་ངས། 	 དངོས་གནས། 
 ཡེད། 	 བྱེད། 
 སྐྱ། 	 སྐྲ། 
 སྡེ་གི། སེམས་ཅན། 	 གཞན་པ། 
 ཨ་ཡས། 	 ཨ་ཕྱི། 
 རྩོབ། 	 སློབ། 
 ཆི་མོ། 	 ཅི་འདྲ། 
 ཧ་ར་ཚུར་ར། 	 ཕར་ཚུར། ཁྱོན། 
 ཧོང་། 	 འཕོངས། 
 ཨ་རོ། 	 ཨ་རོག 
 སྡོད་དྲ། 	 སྡོད་དང་། 
 སྒ་འདྲིས། 	 རླངས་འཁོར། 
 རྫོས། 	 ཤོད། ཟློས། 
